연번,행정구역,안심 주소,위도,경도,CCTV 수량
159,서울특별시 관악구,AB013 1-1RZ 생태체험길 입구 (삼성동 산68-2),37.4632,126.9337,1
160,서울특별시 관악구,AB014 1-1RLZ 모래내공원#1(낙성대동 1613-19),37.4778,126.9554,1
161,서울특별시 관악구,AB015 1-1RZ 모래내공원#2(낙성대동 1613-19),37.4777,126.9558,1
162,서울특별시 관악구,AB017 1-1RZ 문성어린이공원#4(미성동 산 197-3),37.4777,126.9177,1
163,서울특별시 관악구,AB018 1-1RZ 안전한산책로#2(난향동 산 102-12),37.4577,126.9186,1
164,서울특별시 관악구,AB019 1-1RZ 안전한산책로#3(난향동 산 102-12),37.4575,126.9204,1
165,서울특별시 관악구,AC001 1-1R 낙성대야외놀이마당 (낙성대동 291-8),37.4739,126.96,1
166,서울특별시 관악구,AC002 1-1R 낙성대야외놀이마당 (낙성대동 287),37.4732,126.9597,1
167,서울특별시 관악구,AC003 1-1R 학다리어린이공원 (보라매동 647-175),37.4888,126.9376,1
168,서울특별시 관악구,AC004 1-1RZ 사우촌어린이공원 (대학동 1555-1),37.4675,126.9342,1
169,서울특별시 관악구,AC005 1-1RZ 미림어린이공원 (대학동 254-256),37.4665,126.9353,1
170,서울특별시 관악구,AC006 1-1RZ 난우어린이공원 (난곡동 652-160),37.4664,126.9219,1
171,서울특별시 관악구,AC007 1-1RZ 동네뒷산공원(난곡동 661-62),37.4652,126.9208,1
172,서울특별시 관악구,AD001 1-1RZ 관악산 등산로 입구 (남현동 496-3),37.471,126.9724,1
173,서울특별시 관악구,AD002 1-1RZ 생태육교 남쪽 (남현동 산55-5),37.4752,126.9709,1
174,서울특별시 관악구,AD003 1-1RZ 관음사 주변 (남현동 산57-47),37.468,126.9769,1
175,서울특별시 관악구,AD004 1-1RZ 무장애등산로#2 (대학동 산52),37.4565,126.9471,1
176,서울특별시 관악구,AD005 1-1RZ 무장애등산로#3 (대학동 산52),37.4547,126.9481,1
177,서울특별시 관악구,AD006 1-1RZ 상도근린공원 (보라매동 산133-20),37.4925,126.935,1
178,서울특별시 관악구,AD007 1-1RZ 상도근린공원 유아숲체험장 (성현동 1712-22),37.4937,126.9483,1
179,서울특별시 관악구,AD008 1-1RZ 상도근린공원#2 (성현동 1712-6),37.4913,126.9521,1
180,서울특별시 관악구,AD009 1-1RZ 장군봉근린공원 배드민턴장 01 (서원동 산 170-137),37.4814,126.9347,1
181,서울특별시 관악구,AD010 1-1RZ 상도근린공원 국사봉체육관 (은천동 산103-75),37.492,126.9415,1
182,서울특별시 관악구,AD011 1-1RZ 인헌자락공원 (인헌동 산3-6),37.4681,126.9702,1
183,서울특별시 관악구,AD012 1-1RZ 군인APT 둘레길 (인헌동 180-255),37.4682,126.9694,1
184,서울특별시 관악구,AD013 1-1RZ 까치산근린공원 (청림동 1706-2),37.4851,126.9622,1
185,서울특별시 관악구,AD014 1-1RZ 장군봉근린공원 북쪽등산로 입구 (청룡동 산149-8),37.4815,126.9367,1
186,서울특별시 관악구,AD015 1-1R 충효어린이공원 (청룡동 1526-1),37.4812,126.9413,1
187,서울특별시 관악구,AD016 1-1RZ 장군봉근린공원 입구 (서원동 산1-270),37.4789,126.939,1
188,서울특별시 관악구,AD018 1-1R 송학어린이공원#2 (청룡동 877-21),37.4802,126.9493,1
189,서울특별시 관악구,AD019 1-1RZ 까치산근린공원 미술고 뒤 (행운동 1690-172),37.4769,126.9677,1
190,서울특별시 관악구,AD020 1-1RZ 생태육교 북쪽 (행운동 산66-2),37.4757,126.9707,1
191,서울특별시 관악구,AD021 1-1RZ 까치산근린공원 (행운동 100-2),37.4833,126.9603,1
192,서울특별시 관악구,AD022 1-1RZ 까치산근린공원#4 (행운동 산67-32),37.4803,126.965,1
193,서울특별시 관악구,AD023 1-1RZ 안전한산책로#1 (난향동 산105-11),37.4589,126.9174,1
194,서울특별시 관악구,AD024 1-1RZ 안전한산책로#4 (난향동 산102-7),37.4582,126.9215,1
195,서울특별시 관악구,AD025 1-1RZ 안전한산책로#5 (난향동 1735-12),37.4593,126.9223,1
196,서울특별시 관악구,AD026 1-1R 선우공원#04 (미성동 산 117-20),37.4676,126.9135,1
