name,lat,lng,category,address
홍루이젠 이수역점 (24시 무인매장),37.48759035,126.9801176,음식점 > 패스트푸드 > 샌드위치 > 홍루이젠,서울 동작구 동작대로27길 34
24시 데이원 동물의료센터,37.49011621,126.9822145,"가정,생활 > 반려동물 > 동물병원",서울 동작구 동작대로 151
24시사계스터디카페 이수역점,37.48874549,126.9804068,"서비스,산업 > 전문대행 > 공간대여 > 스터디카페,스터디룸",서울 동작구 동작대로29나길 15
청수24시사우나,37.49376732,126.8986666,"가정,생활 > 목욕탕,사우나",서울 영등포구 도림로 150
24시무인&셀프카페다온 상도점,37.49705989,126.9317169,음식점 > 카페 > 테마카페 > 무인카페,서울 동작구 국사봉1길 101
신풍24시불한증막사우나,37.5014488,126.9012709,"가정,생활 > 목욕탕,사우나",서울 영등포구 가마산로48길 16
바로뽑아먹는짜장24시 2호점,37.50051975,126.9202125,음식점 > 중식 > 중국요리,서울 영등포구 여의대방로 149
24시2층회포차,37.4990756,126.9274505,음식점 > 일식,서울 동작구 여의대방로24길 134
24시무인카페 별밤,37.50201865,126.9447848,음식점 > 카페 > 테마카페 > 무인카페,서울 동작구 장승배기로10길 130
건영스파24시불한증막사우나,37.50624311,126.9013505,"가정,생활 > 목욕탕,사우나",서울 영등포구 도림로 323
24시 무인카페 만월경 신길점,37.50727306,126.9129363,음식점 > 카페 > 테마카페 > 무인카페 > 카페만월경,서울 영등포구 신길로42길 22-1
서부청기와감자탕24시 신길점,37.50721826,126.9107411,음식점 > 한식 > 감자탕,서울 영등포구 신길로 169
장성24시그랜드보석사우나,37.50791231,126.9396241,"가정,생활 > 목욕탕,사우나 > 찜질방",서울 동작구 장승배기로 113
24시 품 동물의료센터,37.50438495,126.9493894,"가정,생활 > 반려동물 > 동물병원",서울 동작구 양녕로 277-1
24시무인카페 온커피 도림동점,37.51013838,126.8984261,음식점 > 카페 > 테마카페 > 무인카페,서울 영등포구 도림로 369-10
